===== DUPLICATE EXPORT / REDECLARE FAMILY =====
lib/adaptive-deload-recovery-engine.ts(471,17): error TS2323: Cannot redeclare exported variable 'assessRecoveryNeed'.
lib/adaptive-deload-recovery-engine.ts(599,17): error TS2323: Cannot redeclare exported variable 'generatePhaseAdjustments'.
lib/adaptive-deload-recovery-engine.ts(706,17): error TS2323: Cannot redeclare exported variable 'calculatePhaseDuration'.
lib/adaptive-deload-recovery-engine.ts(753,17): error TS2323: Cannot redeclare exported variable 'applyRecoveryAdjustmentsToSession'.
lib/adaptive-deload-recovery-engine.ts(876,17): error TS2323: Cannot redeclare exported variable 'generateRecoveryPhaseExplanation'.
lib/adaptive-deload-recovery-engine.ts(965,17): error TS2323: Cannot redeclare exported variable 'generateRecoveryCoachMessage'.
lib/adaptive-deload-recovery-engine.ts(1004,17): error TS2323: Cannot redeclare exported variable 'assessPhaseCompletion'.
lib/adaptive-deload-recovery-engine.ts(1062,17): error TS2323: Cannot redeclare exported variable 'assessCycleCompatibility'.
lib/adaptive-deload-recovery-engine.ts(1109,3): error TS2323: Cannot redeclare exported variable 'assessRecoveryNeed'.
lib/adaptive-deload-recovery-engine.ts(1109,3): error TS2484: Export declaration conflicts with exported declaration of 'assessRecoveryNeed'.
lib/adaptive-deload-recovery-engine.ts(1110,3): error TS2323: Cannot redeclare exported variable 'generatePhaseAdjustments'.
lib/adaptive-deload-recovery-engine.ts(1110,3): error TS2484: Export declaration conflicts with exported declaration of 'generatePhaseAdjustments'.
lib/adaptive-deload-recovery-engine.ts(1111,3): error TS2323: Cannot redeclare exported variable 'calculatePhaseDuration'.
lib/adaptive-deload-recovery-engine.ts(1111,3): error TS2484: Export declaration conflicts with exported declaration of 'calculatePhaseDuration'.
lib/adaptive-deload-recovery-engine.ts(1112,3): error TS2323: Cannot redeclare exported variable 'applyRecoveryAdjustmentsToSession'.
lib/adaptive-deload-recovery-engine.ts(1112,3): error TS2484: Export declaration conflicts with exported declaration of 'applyRecoveryAdjustmentsToSession'.
lib/adaptive-deload-recovery-engine.ts(1113,3): error TS2323: Cannot redeclare exported variable 'generateRecoveryPhaseExplanation'.
lib/adaptive-deload-recovery-engine.ts(1113,3): error TS2484: Export declaration conflicts with exported declaration of 'generateRecoveryPhaseExplanation'.
lib/adaptive-deload-recovery-engine.ts(1114,3): error TS2323: Cannot redeclare exported variable 'generateRecoveryCoachMessage'.
lib/adaptive-deload-recovery-engine.ts(1114,3): error TS2484: Export declaration conflicts with exported declaration of 'generateRecoveryCoachMessage'.
lib/adaptive-deload-recovery-engine.ts(1115,3): error TS2323: Cannot redeclare exported variable 'assessPhaseCompletion'.
lib/adaptive-deload-recovery-engine.ts(1115,3): error TS2484: Export declaration conflicts with exported declaration of 'assessPhaseCompletion'.
lib/adaptive-deload-recovery-engine.ts(1116,3): error TS2323: Cannot redeclare exported variable 'assessCycleCompatibility'.
lib/adaptive-deload-recovery-engine.ts(1116,3): error TS2484: Export declaration conflicts with exported declaration of 'assessCycleCompatibility'.
lib/adaptive-training-cycle-engine.ts(141,14): error TS2323: Cannot redeclare exported variable 'PHASE_DEFINITIONS'.
lib/adaptive-training-cycle-engine.ts(909,3): error TS2323: Cannot redeclare exported variable 'PHASE_DEFINITIONS'.
lib/adaptive-training-cycle-engine.ts(909,3): error TS2484: Export declaration conflicts with exported declaration of 'PHASE_DEFINITIONS'.
lib/back-lever-training-system.ts(63,14): error TS2323: Cannot redeclare exported variable 'BACK_LEVER_EXERCISE_LIBRARY'.
lib/back-lever-training-system.ts(449,14): error TS2323: Cannot redeclare exported variable 'BACK_LEVER_READINESS_GATES'.
lib/back-lever-training-system.ts(510,14): error TS2323: Cannot redeclare exported variable 'BACK_LEVER_WEAK_POINTS'.
lib/back-lever-training-system.ts(650,14): error TS2323: Cannot redeclare exported variable 'BACK_LEVER_PROGRESSION_SYSTEM'.
lib/back-lever-training-system.ts(908,14): error TS2323: Cannot redeclare exported variable 'BACK_LEVER_SKILL_RELATIONSHIPS'.
lib/back-lever-training-system.ts(963,14): error TS2323: Cannot redeclare exported variable 'BACK_LEVER_SKILL_CYCLE'.
lib/back-lever-training-system.ts(1012,14): error TS2323: Cannot redeclare exported variable 'BACK_LEVER_GUIDE_STRUCTURE'.
lib/back-lever-training-system.ts(1079,14): error TS2323: Cannot redeclare exported variable 'BACK_LEVER_SEO_PAGES'.
lib/back-lever-training-system.ts(1114,14): error TS2323: Cannot redeclare exported variable 'BACK_LEVER_MARKETING_CLAIMS'.
lib/back-lever-training-system.ts(1144,14): error TS2323: Cannot redeclare exported variable 'BACK_LEVER_SESSION_TEMPLATE'.
lib/back-lever-training-system.ts(1198,3): error TS2323: Cannot redeclare exported variable 'BACK_LEVER_EXERCISE_LIBRARY'.
lib/back-lever-training-system.ts(1198,3): error TS2484: Export declaration conflicts with exported declaration of 'BACK_LEVER_EXERCISE_LIBRARY'.
lib/back-lever-training-system.ts(1199,3): error TS2323: Cannot redeclare exported variable 'BACK_LEVER_READINESS_GATES'.
lib/back-lever-training-system.ts(1199,3): error TS2484: Export declaration conflicts with exported declaration of 'BACK_LEVER_READINESS_GATES'.
lib/back-lever-training-system.ts(1200,3): error TS2323: Cannot redeclare exported variable 'BACK_LEVER_WEAK_POINTS'.
lib/back-lever-training-system.ts(1200,3): error TS2484: Export declaration conflicts with exported declaration of 'BACK_LEVER_WEAK_POINTS'.
lib/back-lever-training-system.ts(1201,3): error TS2323: Cannot redeclare exported variable 'BACK_LEVER_PROGRESSION_SYSTEM'.
lib/back-lever-training-system.ts(1201,3): error TS2484: Export declaration conflicts with exported declaration of 'BACK_LEVER_PROGRESSION_SYSTEM'.
lib/back-lever-training-system.ts(1202,3): error TS2323: Cannot redeclare exported variable 'BACK_LEVER_SKILL_RELATIONSHIPS'.
lib/back-lever-training-system.ts(1202,3): error TS2484: Export declaration conflicts with exported declaration of 'BACK_LEVER_SKILL_RELATIONSHIPS'.
lib/back-lever-training-system.ts(1203,3): error TS2323: Cannot redeclare exported variable 'BACK_LEVER_SKILL_CYCLE'.
lib/back-lever-training-system.ts(1203,3): error TS2484: Export declaration conflicts with exported declaration of 'BACK_LEVER_SKILL_CYCLE'.
lib/back-lever-training-system.ts(1204,3): error TS2323: Cannot redeclare exported variable 'BACK_LEVER_GUIDE_STRUCTURE'.
lib/back-lever-training-system.ts(1204,3): error TS2484: Export declaration conflicts with exported declaration of 'BACK_LEVER_GUIDE_STRUCTURE'.
lib/back-lever-training-system.ts(1205,3): error TS2323: Cannot redeclare exported variable 'BACK_LEVER_SEO_PAGES'.
lib/back-lever-training-system.ts(1205,3): error TS2484: Export declaration conflicts with exported declaration of 'BACK_LEVER_SEO_PAGES'.
lib/back-lever-training-system.ts(1206,3): error TS2323: Cannot redeclare exported variable 'BACK_LEVER_MARKETING_CLAIMS'.
lib/back-lever-training-system.ts(1206,3): error TS2484: Export declaration conflicts with exported declaration of 'BACK_LEVER_MARKETING_CLAIMS'.
lib/back-lever-training-system.ts(1207,3): error TS2323: Cannot redeclare exported variable 'BACK_LEVER_SESSION_TEMPLATE'.
lib/back-lever-training-system.ts(1207,3): error TS2484: Export declaration conflicts with exported declaration of 'BACK_LEVER_SESSION_TEMPLATE'.
lib/benchmark-testing-engine.ts(339,17): error TS2323: Cannot redeclare exported variable 'getBaselineTests'.
lib/benchmark-testing-engine.ts(346,17): error TS2323: Cannot redeclare exported variable 'getEssentialBaselineTests'.
lib/benchmark-testing-engine.ts(353,17): error TS2323: Cannot redeclare exported variable 'getTestsForSkill'.
lib/benchmark-testing-engine.ts(364,23): error TS2323: Cannot redeclare exported variable 'createBenchmark'.
lib/benchmark-testing-engine.ts(406,23): error TS2323: Cannot redeclare exported variable 'getLatestBenchmark'.
lib/benchmark-testing-engine.ts(428,23): error TS2323: Cannot redeclare exported variable 'getUserBenchmarks'.
lib/benchmark-testing-engine.ts(446,23): error TS2323: Cannot redeclare exported variable 'getBenchmarkHistory'.
lib/benchmark-testing-engine.ts(470,23): error TS2323: Cannot redeclare exported variable 'getBenchmarksByFamily'.
lib/benchmark-testing-engine.ts(525,23): error TS2323: Cannot redeclare exported variable 'getProgressTestTriggers'.
lib/benchmark-testing-engine.ts(612,17): error TS2323: Cannot redeclare exported variable 'detectPlateauFromHistory'.
lib/benchmark-testing-engine.ts(695,23): error TS2323: Cannot redeclare exported variable 'analyzeBenchmarkTrend'.
